Source,Destination,Capacity
3,13,5
11,5,1
5,19,3
8,18,2
9,17,5
0,14,4
7,1,4
18,1,4
13,17,5
7,19,5
18,19,2
12,18,4
5,12,1
8,11,3
17,14,2
11,7,4
11,16,4
6,4,5
7,3,4
13,19,3
3,8,1
11,0,2
11,9,4
13,12,3
3,19,5
13,5,1
13,14,3
16,10,3
18,7,1
7,16,1
18,16,5
5,0,1
17,2,5
5,9,5
17,11,4
11,4,1
2,13,1
12,8,3
3,5,2
17,4,3
14,5,3
9,0,5
12,17,3
13,9,2
1,16,4
2,15,2
12,1,4
8,6,4
12,3,4
14,9,4
5,6,4
4,8,5
13,4,1
0,13,4
11,13,2
14,11,1
4,19,2
19,1,1
11,6,1
8,19,1
6,3,2
12,7,4
4,3,5
12,16,4
4,12,2
17,6,4
19,12,5
0,17,3
2,14,4
4,5,5
4,14,3
9,4,5
11,19,1
15,10,3
4,7,1
4,16,5
11,3,1
5,17,3
19,16,1
11,12,4
13,6,4
6,9,1
7,8,5
