Source,Destination,Capacity
67,59,16
107,95,50
126,108,34
125,0,24
98,46,44
50,6,15
82,38,24
83,3,29
29,32,43
107,131,19
50,91,8
69,104,8
75,35,12
115,71,47
7,129,29
136,14,27
127,45,15
80,113,17
104,98,39
50,127,19
56,21,48
8,130,33
128,46,3
120,42,17
106,107,45
39,117,29
31,113,18
51,91,25
137,131,43
35,83,27
88,95,6
113,39,42
59,68,28
100,69,42
30,4,8
16,106,40
76,120,38
28,80,28
102,29,43
21,41,25
114,3,35
6,61,38
25,11,29
144,111,33
10,31,46
69,117,46
61,113,33
135,62,17
127,58,42
65,3,7
32,55,36
23,86,29
95,111,38
129,24,3
126,98,8
70,54,6
56,119,35
17,48,40
63,15,45
117,135,5
102,6,32
29,22,22
37,142,33
112,56,21
44,1,26
143,43,12
135,39,10
62,55,46
26,132,15
128,0,48
64,15,45
43,41,21
126,75,1
31,103,35
24,64,17
146,26,40
119,72,20
6,15,31
50,58,12
6,51,12
18,105,32
59,143,23
104,65,19
137,62,30
117,4,44
108,35,44
0,93,27
67,3,3
12,67,7
30,115,44
31,80,47
91,131,26
137,98,13
70,8,25
95,101,30
134,29,23
106,110,31
13,68,29
100,36,14
45,100,7
72,117,42
131,23,32
139,143,48
5,63,44
133,69,14
112,46,36
105,7,22
47,145,2
113,127,19
93,32,43
131,144,14
23,53,16
137,75,48
75,100,15
0,106,2
86,29,49
59,12,50
105,128,38
124,141,15
131,0,7
101,8,21
134,42,2
45,113,8
85,149,16
6,5,34
97,123,48
22,129,12
113,104,30
105,20,4
51,12,33
0,83,11
114,68,50
19,96,14
146,137,10
11,92,32
86,6,47
35,40,42
36,5,5
148,66,21
46,55,9
37,86,26
149,147,25
29,2,21
7,63,6
139,133,34
13,143,20
125,55,38
58,65,28
30,46,43
16,148,6
50,61,25
124,10,24
36,126,4
42,57,40
101,106,27
62,35,33
7,99,10
127,15,1
94,67,14
113,117,42
30,82,23
131,134,20
23,43,12
43,21,13
130,26,24
84,59,49
96,33,3
40,132,49
106,77,19
67,6,21
34,58,23
126,55,11
70,11,18
65,45,31
76,54,20
68,50,30
14,79,25
58,42,9
104,9,27
43,142,45
80,60,14
67,127,10
113,94,44
19,50,36
119,137,27
39,28,11
144,81,38
9,122,28
94,80,31
60,87,39
106,54,24
107,19,11
64,57,33
124,108,8
93,120,40
45,80,10
105,131,34
131,3,14
15,57,12
74,143,3
7,53,46
140,88,27
32,146,31
118,149,39
79,78,9
39,5,43
70,109,7
50,51,8
42,47,35
142,134,45
47,125,12
8,54,34
122,39,11
100,137,21
39,41,10
32,2,26
135,94,35
40,122,26
41,87,16
1,14,2
107,32,20
53,61,9
39,126,49
111,2,48
108,113,25
28,4,49
69,5,37
139,100,38
12,145,30
92,25,15
4,141,36
78,90,45
58,32,14
49,63,50
35,128,15
69,41,18
47,102,9
134,107,23
59,113,27
20,5,38
125,58,42
91,65,30
137,32,50
102,74,48
134,143,36
21,86,5
135,71,33
22,50,47
122,137,12
92,2,26
31,135,25
111,15,2
58,9,30
50,5,38
68,53,40
133,39,10
125,35,2
70,99,45
145,13,31
137,9,40
54,11,50
94,47,40
4,10,31
72,28,12
123,110,33
69,139,21
42,122,46
96,13,35
8,129,31
53,51,41
99,18,1
37,43,6
10,89,18
138,95,1
3,50,35
43,86,35
54,132,27
15,24,20
98,58,33
144,25,16
17,70,5
36,83,43
83,15,13
88,130,28
100,104,21
119,117,50
11,26,34
31,4,9
58,107,50
23,0,50
94,60,21
87,21,1
60,67,21
139,31,31
72,41,16
58,143,15
30,124,4
64,37,16
144,146,40
76,11,17
94,145,44
120,54,39
95,146,46
15,37,31
102,5,39
87,142,14
13,113,30
19,7,10
57,119,1
63,50,8
69,93,35
95,2,48
135,38,19
26,131,39
5,108,17
104,87,47
20,93,23
65,15,3
37,33,21
3,40,1
22,53,34
95,123,8
101,17,38
106,132,48
67,61,2
99,93,27
133,6,31
79,35,8
24,99,34
70,66,12
83,5,19
142,91,31
1,115,15
75,1,33
8,11,16
0,7,8
99,129,4
100,94,1
60,21,22
140,130,11
11,16,16
105,29,8
77,110,48
84,6,14
123,77,20
7,131,1
26,144,45
127,47,8
133,127,30
93,54,16
139,21,22
10,56,33
42,125,23
103,104,25
54,99,44
114,113,13
13,67,42
31,115,46
4,98,46
72,116,48
23,111,21
84,127,35
89,56,11
142,68,23
7,23,42
47,59,1
134,64,24
88,97,5
99,106,42
37,131,31
91,22,19
9,69,17
49,105,11
29,47,19
40,56,2
114,5,25
