Source,Destination,Capacity
80,56,8
13,88,18
36,53,6
61,52,22
87,71,9
19,46,14
78,77,7
87,55,10
63,34,15
34,83,25
56,28,15
45,83,13
90,60,5
37,24,19
75,8,12
43,3,3
66,5,19
60,19,7
14,31,4
19,82,16
29,50,20
84,50,16
95,50,25
73,53,20
78,43,17
68,66,8
86,1,7
26,14,17
46,84,20
13,81,14
84,13,1
95,13,18
75,44,5
60,46,6
78,6,22
98,39,10
92,51,5
72,66,24
81,78,9
17,60,5
55,22,11
33,56,12
42,4,24
36,73,8
42,59,21
79,44,17
48,93,24
53,89,14
53,98,6
29,43,6
63,45,20
3,88,16
39,53,19
11,16,2
89,36,9
80,33,4
35,10,22
14,42,11
9,92,3
38,73,11
32,87,8
79,83,18
55,61,11
84,81,11
62,76,10
2,89,3
36,2,3
59,4,8
73,21,9
9,49,7
99,49,15
20,24,18
94,62,19
50,13,9
78,29,16
58,26,3
31,42,7
37,92,23
61,22,24
57,70,24
33,70,21
24,67,9
43,25,25
99,24,7
53,2,10
8,34,14
98,89,10
48,15,23
82,17,5
17,46,4
74,43,20
16,35,2
22,69,19
22,14,7
37,67,21
88,51,23
66,48,13
84,29,18
3,74,22
32,55,3
85,15,11
37,30,9
21,98,18
92,30,13
3,92,22
44,8,14
13,60,8
95,81,19
70,91,16
86,53,25
23,49,8
36,98,23
13,78,2
82,10,22
24,23,17
90,78,7
29,13,6
62,80,21
51,43,17
29,77,3
63,79,6
22,71,19
6,29,12
73,98,6
29,95,20
84,95,16
20,37,24
98,2,12
50,17,6
78,88,3
50,81,3
27,24,9
72,56,4
50,90,19
10,17,22
52,87,17
96,32,24
81,77,3
63,8,13
30,38,4
70,56,7
3,51,16
5,48,10
65,35,15
99,37,6
46,95,24
34,75,5
20,21,6
51,54,22
85,56,24
9,0,6
91,72,5
20,30,19
69,14,4
97,76,10
1,53,12
86,39,10
96,71,18
23,99,19
67,99,20
41,25,1
84,60,21
81,6,2
82,60,14
11,82,5
9,30,22
19,95,9
1,89,1
91,56,18
38,20,13
49,20,11
57,33,17
71,32,24
29,81,21
48,85,13
37,9,13
20,23,24
93,62,24
6,88,21
29,90,3
87,22,1
32,52,8
52,55,1
94,15,9
41,64,21
32,61,4
84,90,5
43,6,16
23,37,18
67,92,25
36,86,10
45,34,16
26,63,1
8,79,6
1,73,18
79,75,19
39,2,3
97,62,15
73,77,8
31,16,24
23,67,14
83,63,5
6,90,23
21,24,23
50,60,17
67,21,6
70,72,25
86,89,25
23,30,21
10,60,13
50,78,14
93,76,23
89,39,6
2,1,12
71,55,25
61,87,12
94,76,20
93,85,21
90,13,13
88,25,22
94,93,5
20,9,1
57,28,20
74,73,25
13,43,11
26,40,12
90,43,11
64,88,25
33,0,21
98,1,21
25,51,12
19,10,24
70,28,17
80,93,19
63,44,10
64,51,15
8,83,22
17,95,25
6,3,12
86,2,17
40,69,22
40,14,21
50,46,15
12,7,23
14,4,21
55,69,9
96,52,18
96,61,8
30,3,21
39,36,21
30,67,4
74,67,25
65,64,5
91,28,21
68,5,24
74,21,13
99,20,5
31,59,10
60,95,1
31,4,11
38,74,4
11,35,3
85,94,13
92,54,17
23,9,15
18,77,17
67,9,8
1,36,10
81,90,24
34,79,24
45,79,18
28,72,13
71,52,12
25,64,4
11,10,17
22,40,4
71,61,8
39,1,22
38,3,1
11,19,25
38,67,11
49,67,3
83,44,3
38,21,21
44,34,3
58,63,11
96,47,11
95,82,2
45,8,12
88,43,2
90,95,18
67,20,15
24,49,23
59,16,19
41,65,20
87,96,3
17,19,11
57,0,16
45,44,11
13,6,20
37,49,24
46,82,17
