Source,Destination,Capacity
59,55,31
159,142,46
98,46,55
142,89,66
1,113,7
29,32,65
182,125,28
153,98,85
53,160,75
64,169,36
58,95,81
29,68,55
127,45,58
152,138,88
44,47,4
64,25,97
105,63,16
164,112,78
128,46,48
74,75,59
67,36,39
193,175,97
46,13,6
24,74,92
43,87,57
135,170,44
188,182,30
113,39,63
181,57,5
126,121,7
158,190,4
5,60,68
136,171,76
115,48,77
48,58,96
175,99,64
147,180,42
140,141,2
146,72,88
108,45,11
45,25,37
185,148,82
103,115,28
189,118,52
161,56,90
187,194,28
113,16,44
4,109,52
170,141,88
6,38,64
43,185,47
49,116,99
50,81,53
124,30,64
123,65,85
15,123,1
101,126,75
1,188,100
193,129,88
10,44,76
137,85,77
97,12,1
20,94,57
106,97,72
146,170,7
32,68,3
51,81,55
124,151,22
17,25,55
36,38,16
135,160,67
108,143,5
182,92,10
161,69,25
100,59,97
46,88,91
119,72,33
111,68,6
192,142,49
157,184,61
50,58,20
121,118,53
188,28,56
70,152,85
161,190,27
153,186,76
119,193,7
92,176,10
31,80,77
185,138,90
23,76,56
177,134,83
69,192,38
135,137,13
60,143,17
162,11,78
158,157,60
127,169,45
74,163,83
92,68,36
138,184,87
130,180,96
50,71,38
96,187,14
169,171,32
81,58,26
19,83,19
186,80,73
90,143,21
23,53,45
137,75,72
142,190,46
1,34,72
174,142,65
146,160,94
92,189,50
150,50,36
81,179,100
0,191,75
162,24,79
33,139,89
140,85,61
6,5,27
77,65,56
50,48,84
163,105,85
61,57,92
62,22,95
7,86,4
13,166,61
126,186,41
125,78,45
138,197,42
191,23,41
101,129,68
108,25,27
47,158,33
134,163,45
153,176,12
114,68,24
146,137,9
52,93,25
158,111,96
170,85,14
150,27,36
28,1,21
45,90,20
116,150,12
54,175,34
67,114,94
85,162,21
190,184,55
107,186,75
20,38,64
30,82,58
16,184,85
58,150,26
28,158,12
69,159,14
176,142,41
127,136,96
27,198,90
0,181,82
34,94,79
154,10,49
93,143,61
57,77,9
55,116,60
153,130,3
125,68,69
17,126,23
91,75,8
157,20,46
154,131,28
174,109,5
106,54,14
111,169,68
43,34,38
84,72,73
164,144,56
195,168,28
127,113,38
65,58,67
51,123,37
49,50,26
108,136,61
122,183,31
15,57,58
23,177,63
39,5,50
193,63,3
164,36,11
42,47,52
1,158,31
34,192,27
160,2,13
37,197,59
52,60,26
158,78,46
177,91,96
68,184,56
61,145,35
81,123,1
127,90,86
107,32,45
152,183,9
72,74,71
137,140,76
22,73,30
108,113,37
66,116,5
92,25,83
133,26,48
152,39,29
84,170,91
110,42,10
27,44,72
181,102,19
20,5,12
63,83,27
131,101,1
163,170,88
68,161,85
189,42,17
121,173,48
33,60,85
25,56,78
105,85,33
123,133,62
76,21,18
182,39,28
179,150,85
65,48,90
78,67,18
192,89,50
57,44,57
3,73,47
1,112,78
87,152,42
67,94,38
99,126,39
19,17,11
72,172,17
165,71,66
9,89,56
46,156,98
165,107,48
12,14,81
116,71,45
135,84,58
121,186,83
188,96,56
45,47,35
37,43,15
38,8,51
121,42,51
11,170,88
113,38,3
186,171,48
71,41,63
84,160,64
