Source,Destination,Capacity
132,268,57
321,204,37
385,219,33
150,322,88
324,209,30
190,394,86
262,270,8
336,219,14
160,222,41
201,31,13
335,223,77
85,48,41
250,381,50
269,394,31
379,37,38
324,101,67
398,279,28
356,282,39
194,220,23
309,207,7
185,171,93
397,27,31
113,39,10
338,386,47
125,278,75
4,217,74
171,394,87
124,282,45
251,94,7
330,158,57
60,297,94
146,337,14
27,120,95
283,46,73
173,174,84
324,343,84
296,281,45
282,346,11
39,359,54
78,58,31
372,276,2
143,187,35
118,359,65
252,359,18
346,223,40
236,351,69
103,236,89
390,0,64
340,179,22
78,179,62
64,15,26
31,67,60
399,234,29
182,236,38
258,2,68
43,77,31
222,308,55
20,359,94
106,362,1
59,287,22
64,136,29
110,252,81
311,242,49
297,344,26
295,5,3
11,246,45
360,134,83
387,237,89
373,73,11
194,367,58
376,115,24
152,370,13
100,180,85
80,201,14
66,303,35
369,75,55
203,308,62
65,78,70
156,196,74
101,260,30
290,196,69
238,6,82
183,70,14
362,301,2
144,78,57
218,27,62
364,81,41
214,322,21
33,247,45
327,199,17
63,126,91
101,381,58
390,255,5
271,75,1
357,78,31
361,197,97
42,188,85
135,379,43
283,314,49
52,381,80
126,330,42
146,16,5
266,81,94
137,196,57
156,209,61
101,273,72
255,188,14
329,137,9
62,22,61
320,317,4
172,153,82
361,89,60
3,381,82
42,309,24
102,94,50
93,274,76
280,366,17
32,35,30
192,24,64
385,153,60
95,320,82
269,207,68
174,384,43
370,30,26
12,322,12
301,196,9
72,336,10
53,94,21
158,376,54
177,389,93
70,263,39
336,153,60
234,142,7
349,92,96
113,81,7
239,220,8
109,376,39
348,392,96
86,392,14
227,331,37
227,102,25
180,27,96
364,336,84
171,207,66
243,46,80
19,338,75
294,277,99
13,264,14
32,277,86
159,89,38
104,153,65
324,156,43
351,259,87
359,379,48
125,212,72
185,226,37
331,280,44
372,318,84
243,167,11
143,0,40
270,41,91
55,116,36
187,272,98
62,277,45
296,215,87
222,229,86
175,154,34
0,338,80
108,100,22
146,392,65
140,52,37
346,157,45
222,350,36
323,173,60
194,288,93
273,352,59
325,219,89
330,334,31
316,170,68
247,336,33
214,122,85
2,239,26
244,1,63
235,181,92
205,46,72
270,175,55
283,114,72
214,14,48
30,193,52
186,181,91
