Source,Destination,Capacity
10,34,5
13,33,4
18,17,2
25,32,2
35,33,5
5,1,4
12,25,1
43,12,5
15,23,3
22,10,1
25,43,2
7,37,1
8,2,2
16,49,4
45,30,4
3,24,4
6,41,4
4,23,1
21,39,2
12,36,5
12,45,1
3,42,1
41,26,5
25,36,4
3,8,2
29,27,2
8,4,1
14,17,1
9,12,2
0,9,4
6,43,2
35,3,3
3,44,5
44,24,3
1,28,4
48,15,4
33,42,3
17,9,2
45,25,1
6,36,3
5,16,3
43,0,2
6,45,2
44,8,3
24,23,1
30,36,2
5,46,2
11,41,5
12,6,3
40,49,2
36,45,5
39,7,4
11,34,2
26,34,1
46,49,4
32,4,2
19,13,2
23,44,5
1,16,2
2,15,1
0,36,2
0,45,2
39,27,2
38,29,5
41,0,3
31,32,5
4,24,5
8,24,5
45,43,2
42,35,3
43,36,2
14,9,5
31,25,4
14,18,1
16,46,4
27,21,1
17,20,4
46,1,1
47,42,3
9,25,4
11,22,5
9,43,2
26,22,2
29,21,1
20,18,4
7,27,1
0,6,2
28,40,4
41,34,5
32,40,5
18,38,4
34,22,1
48,2,2
49,1,2
11,26,5
2,23,2
31,4,3
12,0,1
5,49,1
49,28,1
40,25,5
47,3,2
35,47,5
39,29,5
44,4,4
39,38,3
25,0,4
10,11,2
8,23,3
9,31,4
23,48,2
26,10,2
38,21,5
24,31,3
10,41,3
9,6,5
14,20,2
12,32,2
41,22,1
11,30,3
32,28,3
21,7,3
