Source,Destination,Capacity
18,17,1
33,36,5
3,13,2
17,12,5
37,15,5
31,38,1
8,18,1
9,26,1
18,1,1
13,17,2
32,39,5
24,35,3
39,35,3
12,18,2
17,14,1
33,13,2
1,8,1
5,39,5
25,18,2
25,27,3
37,1,2
14,8,1
8,4,1
23,29,1
3,26,2
4,25,5
26,0,5
5,32,5
1,10,3
13,12,4
25,20,2
30,34,2
22,32,2
4,27,4
24,5,3
8,27,4
20,1,5
35,32,2
20,10,3
31,19,5
12,15,5
29,31,5
12,33,1
8,20,3
19,38,2
34,2,1
9,0,5
35,0,5
25,8,4
18,11,4
10,37,1
24,39,4
21,31,2
23,28,1
25,1,1
29,19,1
24,32,3
3,9,5
37,11,4
4,17,2
36,15,5
39,22,3
29,21,2
33,0,4
27,14,5
11,15,3
25,14,4
2,30,2
14,4,3
37,18,5
12,9,4
36,12,4
37,20,2
30,14,2
9,13,4
11,10,2
35,22,3
18,15,3
21,23,4
5,35,1
9,33,1
