Source,Destination,Capacity
206,217,3
54,385,53
331,104,11
107,396,38
294,222,51
32,222,88
333,150,58
318,27,61
48,166,40
139,284,84
289,228,54
349,279,36
151,294,61
173,53,2
309,99,9
37,165,25
78,166,39
251,94,42
55,182,11
41,284,59
154,161,41
90,176,43
131,177,73
203,53,50
337,53,100
304,105,62
331,238,81
279,48,65
256,64,100
333,284,45
11,233,60
236,351,68
48,300,1
392,110,76
221,228,47
307,2,56
348,3,54
64,244,35
124,295,45
210,69,70
237,172,97
388,341,43
25,289,36
140,239,27
84,115,16
290,183,61
276,285,19
340,300,33
191,177,3
265,126,73
168,193,98
302,193,2
54,64,51
205,233,27
31,80,75
110,373,90
380,234,43
182,249,50
314,368,56
52,368,92
126,317,28
186,368,6
184,295,29
371,121,97
259,65,73
297,357,34
140,373,35
121,131,95
162,132,63
327,199,73
24,198,74
65,199,74
63,126,36
216,368,11
193,384,73
141,194,89
174,142,81
265,260,99
213,70,13
42,188,89
267,306,86
341,255,7
93,153,8
79,255,62
266,81,59
21,250,50
147,389,63
320,317,38
245,143,71
198,327,20
321,138,59
101,394,68
183,204,10
348,271,86
259,199,53
28,266,54
275,143,18
349,92,35
13,143,5
7,328,43
351,138,60
67,379,45
172,395,50
306,395,40
190,220,20
229,148,57
19,338,5
192,266,11
233,267,48
319,41,27
208,210,43
356,108,33
72,349,28
37,328,1
336,395,80
284,205,79
69,51,55
143,0,98
74,395,81
96,154,8
148,344,3
187,272,41
164,288,30
310,113,85
26,354,46
364,349,55
312,159,39
386,108,76
64,57,11
201,328,72
275,277,51
349,226,40
214,1,21
291,221,78
196,334,33
229,282,66
344,232,11
270,283,43
94,57,3
346,278,75
134,395,2
208,344,30
207,119,74
36,237,69
96,288,24
397,216,92
302,356,8
374,232,47
38,283,61
112,232,41
15,299,85
279,345,12
50,293,85
66,237,81
140,186,23
214,135,100
291,355,82
43,253,82
156,130,35
288,57,42
193,197,4
210,366,89
232,125,100
344,366,9
366,125,92
383,294,67
285,136,30
395,304,57
95,12,29
339,372,28
394,79,22
58,130,40
130,6,77
171,7,62
314,315,84
262,125,41
165,192,32
184,242,28
51,90,72
371,68,59
54,361,58
26,33,56
278,254,45
364,28,35
88,130,52
82,315,73
142,366,94
269,141,97
158,310,80
56,33,53
157,85,53
234,305,58
368,305,48
285,270,43
21,197,75
134,74,62
72,162,76
359,192,38
223,331,51
245,90,55
336,208,32
396,259,17
220,33,11
261,34,59
225,377,37
321,85,14
202,393,69
241,321,89
26,167,29
337,29,92
240,96,72
88,264,40
104,208,49
238,208,2
250,33,32
217,85,22
351,85,6
367,29,95
229,95,38
344,45,21
60,286,56
8,96,20
159,265,54
134,208,13
399,102,53
96,101,53
247,270,7
321,219,8
374,45,22
90,286,47
164,235,73
150,337,72
236,111,42
312,106,50
353,107,6
143,297,59
242,276,36
392,220,27
221,338,67
4,111,2
121,107,5
319,122,2
272,276,50
84,225,90
115,292,13
89,10,7
228,354,23
30,369,27
38,230,100
299,5,78
15,246,94
376,225,92
188,174,55
380,344,41
17,292,89
204,118,35
316,359,83
142,179,49
307,246,2
105,297,13
193,144,38
158,123,97
292,123,86
366,72,5
61,190,94
