Source,Destination,Capacity
90,24,2
79,33,2
67,77,1
28,58,2
79,42,1
98,55,1
89,77,2
5,65,2
28,67,2
47,80,2
8,9,1
5,74,1
9,72,1
82,56,2
17,85,2
91,34,1
77,90,1
5,92,2
6,57,2
75,26,1
21,55,1
44,20,1
41,33,1
41,42,1
52,51,1
33,47,2
34,12,2
3,6,1
44,56,1
74,57,2
25,52,2
37,17,2
31,86,1
34,30,2
39,99,2
2,59,1
3,24,1
67,27,1
12,91,2
22,37,2
32,60,1
32,69,1
74,75,1
51,82,1
57,13,1
86,49,1
43,78,1
13,74,1
24,74,2
32,87,1
16,70,1
97,67,1
70,50,1
89,63,1
90,28,2
1,90,1
89,72,1
28,53,1
36,66,1
9,49,1
47,75,1
17,71,1
63,38,1
92,74,2
58,81,1
75,12,1
48,58,1
80,81,1
9,85,2
40,63,2
33,24,2
81,73,2
64,20,2
37,3,1
39,85,1
34,16,1
37,12,2
10,58,1
45,25,1
31,90,2
51,68,2
87,98,1
49,4,2
86,53,2
90,14,1
88,81,2
65,88,2
82,19,2
88,90,1
29,13,1
36,61,2
28,57,1
6,29,2
29,31,1
48,44,1
83,11,1
94,11,1
58,76,1
80,76,2
94,20,1
29,49,2
80,94,1
52,23,1
81,59,1
21,54,1
72,1,1
30,84,2
93,33,2
54,60,2
20,67,2
45,11,1
86,12,1
56,11,2
62,91,2
12,72,2
37,16,1
89,17,2
51,63,2
59,13,1
43,59,1
66,61,2
72,95,2
70,22,1
4,86,1
32,68,2
16,60,1
90,9,2
24,73,2
18,2,1
88,76,1
59,49,1
99,85,2
28,43,1
1,89,1
47,56,1
77,57,1
88,94,1
63,19,2
71,32,1
77,66,2
5,59,2
46,97,2
49,93,1
77,75,1
6,33,1
69,89,2
56,78,1
93,28,2
61,94,2
54,55,2
66,20,1
0,93,1
85,51,1
89,12,1
35,41,2
70,8,1
31,89,2
32,54,2
12,85,2
86,34,1
4,81,1
32,63,1
96,66,1
1,57,2
47,24,2
59,26,1
72,99,1
98,17,1
79,13,1
1,75,1
59,44,1
77,43,2
29,3,2
9,34,1
46,83,2
6,10,1
28,56,1
40,21,1
92,59,2
81,31,2
92,77,2
75,6,1
41,13,2
27,78,2
33,9,1
80,93,1
50,89,2
39,52,2
54,50,2
51,26,1
19,92,1
74,28,1
31,57,1
0,88,2
12,53,2
85,37,2
95,69,1
97,11,2
97,20,2
53,81,2
28,6,1
53,90,1
55,32,1
17,15,1
47,28,2
65,73,1
88,75,2
68,69,2
49,65,1
58,43,1
80,43,1
15,72,2
49,74,1
9,47,2
5,58,1
26,90,1
77,74,2
79,93,2
27,64,2
7,95,1
81,44,2
71,98,2
82,98,2
10,2,1
33,4,1
19,69,1
0,65,1
73,58,1
94,90,1
66,19,1
24,13,1
19,96,1
20,61,1
43,26,2
12,57,2
86,6,1
87,60,2
86,15,1
24,31,1
64,67,2
67,11,2
53,76,2
47,5,2
43,53,2
78,20,1
17,1,2
34,72,2
64,76,1
28,10,1
1,56,1
36,23,1
65,59,2
56,90,1
76,59,2
37,86,1
5,26,1
92,31,1
38,60,2
26,67,2
50,34,1
5,44,2
6,9,2
77,51,1
57,82,2
21,7,1
68,82,1
15,85,2
26,85,1
58,65,1
80,65,1
19,55,2
93,4,1
54,22,1
7,99,2
63,98,2
51,7,2
23,25,2
54,40,2
39,51,2
11,78,2
51,25,1
39,60,1
20,56,1
32,21,1
66,23,1
41,79,2
1,15,2
