Source,Destination,Capacity
80,1,25
18,17,44
47,53,14
26,39,50
36,80,28
17,85,30
91,34,35
41,24,35
72,11,12
53,7,12
64,7,11
21,73,21
73,74,25
64,16,5
2,41,48
37,8,25
1,72,34
55,52,30
43,96,23
13,92,27
47,57,34
46,98,23
30,4,6
17,71,43
41,1,11
0,9,35
41,19,16
75,21,15
73,69,43
39,76,25
74,43,8
3,1,10
39,94,10
20,90,27
37,21,40
23,95,19
96,85,16
90,14,30
13,78,18
17,48,32
90,32,23
5,55,24
57,93,50
28,66,5
52,5,32
29,49,17
40,49,39
69,85,48
10,8,46
92,96,28
25,6,27
2,22,12
54,78,23
74,56,41
20,85,28
31,85,35
93,69,1
59,13,21
43,59,21
1,62,42
86,48,43
43,77,30
9,39,48
29,17,28
80,62,30
18,96,15
21,40,6
61,76,43
10,21,33
20,53,39
93,37,22
84,83,21
35,41,31
43,54,3
86,34,34
59,17,34
36,24,19
79,4,49
82,9,46
96,93,8
57,74,20
71,18,47
21,8,5
17,56,17
58,57,40
69,57,46
92,59,26
9,61,40
44,0,37
52,13,43
44,9,3
74,10,20
8,74,6
25,5,49
39,61,20
12,44,27
20,57,44
32,22,35
31,57,49
54,59,21
4,67,50
43,58,35
89,34,4
17,15,2
3,98,37
38,65,50
76,82,31
6,5,14
77,56,3
92,54,40
8,60,24
19,78,1
31,43,45
8,87,30
43,17,42
86,6,30
24,22,24
87,69,7
72,80,27
67,11,49
84,91,1
36,14,34
72,98,21
96,74,8
36,32,14
47,32,42
77,33,49
57,64,4
65,68,19
57,73,30
46,82,38
58,47,4
68,91,32
58,56,31
15,85,15
7,81,29
54,13,29
2,11,16
31,47,23
66,23,37
52,88,3
84,68,47
96,33,34
12,61,37
89,6,24
16,22,45
87,73,32
3,70,42
56,85,34
80,24,10
5,30,23
58,33,43
6,4,19
59,96,7
15,71,49
62,3,24
19,32,44
79,83,2
19,59,9
93,8,34
11,55,31
39,46,13
4,25,38
32,16,41
52,92,28
53,57,13
4,52,5
34,71,1
57,36,26
45,89,3
69,37,44
38,68,6
19,36,46
90,87,15
30,45,7
20,10,8
19,54,44
71,92,10
11,50,33
85,8,43
32,2,47
52,78,18
56,48,34
25,79,31
76,26,46
74,93,4
25,88,21
3,51,13
66,98,19
14,69,1
77,18,48
38,45,33
55,88,28
18,48,48
90,64,48
80,41,46
19,22,3
70,95,30
90,73,30
8,40,44
73,20,16
94,61,18
72,24,34
23,28,16
87,31,13
35,2,8
24,11,20
64,47,33
16,7,48
56,43,19
87,58,50
3,46,17
65,30,49
51,95,31
46,26,10
86,71,7
77,13,23
14,73,49
86,89,27
41,50,10
83,65,20
44,55,13
85,74,19
93,87,30
99,27,34
49,17,39
15,33,8
61,0,37
77,17,11
78,71,34
86,84,29
80,22,7
70,76,25
82,50,40
18,56,16
5,86,25
71,77,35
60,49,14
4,5,38
87,21,24
44,50,45
56,15,18
81,99,40
10,57,2
33,59,9
25,55,47
88,4,16
93,73,37
56,33,18
74,69,30
2,62,25
74,87,20
2,80,33
78,48,20
15,19,8
68,34,12
90,31,18
69,8,10
18,33,39
59,71,16
98,62,43
48,43,32
0,12,6
30,25,45
6,55,49
41,22,46
40,75,21
75,42,15
62,72,31
64,14,15
51,62,30
85,73,1
14,31,11
23,98,19
37,42,34
43,85,4
55,50,8
51,98,42
59,48,15
7,28,32
5,67,29
90,53,28
19,11,7
77,92,36
75,37,45
87,20,33
51,66,44
3,26,47
32,62,35
3,35,29
26,0,44
32,80,22
26,9,27
16,63,19
15,18,9
78,56,15
48,15,13
16,81,2
79,30,41
89,65,49
99,97,12
82,26,25
48,33,18
94,0,11
30,6,43
77,78,23
5,89,39
50,88,20
81,66,24
25,13,50
93,31,25
22,7,20
20,74,9
31,74,12
78,15,41
51,70,15
78,33,19
24,62,43
35,62,27
90,7,10
13,71,23
47,36,36
82,3,45
96,87,15
90,16,36
35,80,37
13,89,46
59,56,23
55,67,39
46,95,14
82,39,38
27,81,46
52,25,27
2,24,24
66,27,21
20,69,40
31,69,4
54,71,3
74,58,6
85,58,48
13,48,4
36,22,5
47,22,30
16,53,39
1,82,17
92,48,14
76,94,14
77,59,6
17,54,40
57,90,44
9,50,48
28,63,36
40,37,36
58,73,7
41,11,20
52,11,50
10,14,34
54,48,27
2,19,49
31,73,7
86,18,43
97,27,27
34,84,50
96,77,49
79,6,50
63,7,48
77,54,47
57,85,31
58,59,18
52,6,8
19,58,36
33,2,11
61,82,33
73,47,24
85,21,44
43,15,15
32,24,27
75,93,21
84,71,48
51,46,31
86,13,34
88,41,17
84,89,37
96,54,8
12,82,14
87,85,24
95,98,30
34,79,13
45,79,37
58,36,12
68,89,17
58,54,7
15,92,37
93,20,18
23,32,37
19,80,17
51,23,4
13,6,3
54,56,29
12,50,35
52,86,14
95,66,16
96,31,16
35,24,33
4,55,11
72,82,19
45,65,5
36,7,34
96,58,11
35,51,36
36,16,25
47,16,35
59,18,10
34,83,24
56,92,29
58,22,25
92,33,6
3,95,40
81,23,27
19,48,6
54,33,7
23,27,5
8,75,31
41,72,42
24,1,29
35,1,37
75,74,45
11,80,44
96,17,4
31,58,11
87,57,43
53,64,2
84,79,49
53,73,24
36,2,14
3,72,31
47,20,30
37,74,41
28,16,45
92,19,49
9,12,26
56,96,50
46,70,29
77,48,5
68,79,41
70,98,4
39,3,30
18,78,40
20,8,19
31,8,41
0,39,30
93,10,3
52,67,18
13,5,10
87,43,30
43,18,19
83,91,40
35,32,2
22,62,47
96,48,47
37,60,5
3,76,18
86,92,25
69,21,50
67,88,2
15,59,21
61,26,38
42,40,48
79,89,17
19,56,3
20,21,2
31,21,32
83,68,34
41,62,2
21,93,15
60,75,38
53,36,18
64,36,24
87,47,29
13,18,34
87,56,32
53,63,25
64,63,44
14,53,20
45,68,44
76,46,1
86,78,22
7,32,24
92,18,25
89,83,35
42,8,14
15,54,37
78,92,34
27,28,32
19,24,11
19,33,10
83,45,49
72,35,13
1,2,5
10,69,4
1,11,20
25,67,18
93,85,15
14,57,33
43,93,44
58,2,27
77,15,33
35,98,39
49,42,22
86,91,20
58,20,34
71,48,44
15,58,38
18,54,8
42,21,10
36,90,27
40,60,1
6,67,43
23,7,32
87,10,43
31,20,34
21,74,21
23,16,20
34,13,47
96,15,36
56,31,19
88,11,40
10,73,34
86,59,40
13,84,8
3,61,19
86,77,15
90,47,45
59,78,20
89,91,7
47,85,42
5,79,50
28,81,3
79,65,17
94,26,28
28,99,33
60,42,12
87,14,26
33,43,25
14,20,40
22,33,24
86,54,48
14,47,34
13,79,21
