Source,Destination,Capacity
13,88,12
132,39,25
70,64,12
107,131,14
64,169,23
63,61,13
75,35,37
128,190,7
169,191,39
167,38,31
159,34,9
104,98,38
170,43,4
103,102,10
169,47,9
91,164,38
51,91,4
130,92,30
35,83,17
94,169,14
96,99,4
33,159,19
118,117,25
64,146,34
56,142,7
170,164,46
117,158,42
129,132,38
94,25,42
132,137,37
98,144,1
189,33,24
108,45,30
39,94,13
70,198,8
131,177,26
94,146,36
14,37,8
146,193,49
12,113,27
165,26,3
63,15,26
101,41,44
182,115,23
128,144,46
99,117,26
67,170,15
193,129,24
10,44,1
97,12,12
138,50,49
13,55,33
86,39,35
32,68,16
70,31,5
75,146,43
35,73,13
25,145,42
199,181,23
119,72,20
165,39,9
166,4,32
65,101,14
9,57,1
128,157,19
81,45,19
58,98,33
170,10,45
62,68,40
168,49,16
19,106,21
5,171,36
125,124,50
186,103,43
41,130,27
87,97,40
47,24,49
106,110,35
195,188,37
25,122,42
158,157,28
36,51,4
22,116,1
109,121,39
69,48,49
195,44,11
66,159,47
67,124,37
24,162,13
198,49,39
157,197,14
55,149,10
122,59,31
147,3,12
133,105,18
66,15,6
165,137,13
85,28,11
23,53,49
184,7,42
168,62,40
169,27,5
153,19,7
59,12,28
186,116,7
158,134,37
36,28,29
150,50,15
62,166,3
176,188,39
34,104,45
58,52,11
176,44,26
179,49,21
43,188,38
116,29,26
55,162,30
63,139,8
43,44,10
190,63,27
55,18,45
137,173,14
69,38,30
61,34,45
40,11,15
192,145,9
184,141,43
8,64,49
107,186,1
20,38,30
125,91,18
51,25,15
149,39,22
160,48,5
4,66,35
159,89,14
3,70,1
176,178,11
19,194,20
31,168,4
37,99,23
164,23,9
53,192,17
172,143,38
70,132,16
165,140,6
32,25,39
58,163,18
104,130,35
123,143,12
134,9,35
180,125,36
198,173,35
164,180,2
137,163,23
156,176,27
8,198,23
132,84,4
32,146,6
78,113,15
144,58,34
150,138,19
42,47,38
161,147,50
107,176,18
140,173,23
17,139,41
9,135,11
124,85,9
69,149,42
189,65,11
7,174,38
30,157,42
190,66,48
69,5,42
15,34,38
18,39,4
186,181,28
151,74,4
70,86,3
49,63,13
61,37,45
1,135,36
72,195,5
11,36,9
165,94,3
84,26,4
68,161,49
94,70,24
135,71,1
4,33,2
42,145,47
27,165,10
174,184,8
140,42,21
58,9,22
75,178,26
125,35,29
193,53,30
2,193,36
94,47,46
140,163,10
152,137,50
44,46,38
77,143,13
84,39,17
18,173,9
53,51,26
140,55,6
86,84,15
130,127,20
96,134,22
40,53,29
166,49,47
56,177,6
104,74,44
157,0,50
41,54,12
127,57,45
53,28,31
164,124,49
110,153,34
3,27,4
