Source,Destination,Capacity
24,88,15
78,68,22
16,93,16
61,6,13
82,38,43
94,3,40
63,34,18
71,47,40
79,60,1
0,5,43
6,48,22
52,24,13
9,90,42
48,72,40
84,4,48
44,20,3
75,35,19
9,99,30
81,69,29
44,29,9
40,77,19
81,78,39
72,20,41
10,45,24
72,29,21
53,25,2
53,34,10
3,15,50
39,99,39
34,30,45
74,66,39
3,24,35
32,60,13
38,0,2
89,45,16
1,72,49
97,58,16
46,18,13
98,41,35
99,95,29
17,53,38
48,31,12
40,27,2
71,51,46
21,41,24
63,56,29
80,90,34
40,63,45
61,95,25
62,60,38
73,60,34
45,16,11
2,45,48
12,77,21
34,25,48
54,92,48
89,22,42
51,68,15
74,70,17
32,64,24
78,31,3
43,64,25
24,60,15
15,2,2
90,5,49
16,56,1
67,49,9
36,43,4
16,74,31
59,54,12
16,83,34
79,32,46
70,63,35
71,28,21
17,57,1
57,93,20
71,37,26
17,66,11
6,29,29
63,33,8
60,9,32
69,76,8
61,72,23
92,87,10
81,59,1
50,90,11
33,19,4
81,68,15
50,99,13
62,64,11
2,22,11
62,73,8
34,2,33
56,2,20
85,47,31
31,76,16
14,5,6
93,60,34
23,72,35
51,54,44
74,56,1
43,50,25
89,17,23
23,81,5
85,65,41
20,94,8
95,88,25
67,35,24
89,35,22
24,64,44
99,67,43
4,95,24
96,71,21
17,25,46
24,73,19
35,73,17
82,5,30
16,69,49
82,14,13
16,78,28
88,94,25
71,23,41
46,88,11
6,15,1
47,65,12
92,55,13
21,13,45
57,97,1
40,26,15
94,15,45
50,67,29
52,9,20
21,40,3
69,89,49
39,48,26
8,79,7
50,94,19
61,94,27
51,31,48
30,97,26
20,62,21
74,33,15
85,33,18
67,3,15
89,3,24
86,16,43
97,16,36
3,9,18
24,32,42
97,25,12
3,18,22
4,72,36
12,85,12
24,50,8
70,17,27
35,50,26
78,30,5
66,56,16
72,99,37
88,62,41
99,62,8
55,37,37
5,36,43
5,45,6
65,96,46
