Source,Destination,Capacity
166,181,2
72,137,2
10,162,1
43,110,1
50,6,1
171,116,2
116,180,1
128,154,2
8,9,1
53,160,1
64,169,2
37,152,2
43,195,2
178,11,2
124,40,1
148,168,2
80,113,1
26,142,2
27,107,2
147,23,1
79,154,1
125,121,2
70,185,2
145,99,2
37,8,2
83,124,2
28,188,2
146,180,2
6,169,1
11,135,1
166,158,1
193,175,1
158,154,2
151,29,2
104,183,1
178,132,2
83,160,2
43,87,1
157,109,1
115,192,2
177,167,1
36,48,2
196,37,1
55,61,2
101,28,2
169,83,2
48,22,2
113,39,1
25,155,2
18,30,2
181,57,2
159,155,1
124,197,1
185,27,2
108,189,2
197,1,1
75,12,1
134,98,1
67,157,2
5,96,1
18,115,2
152,115,2
110,118,2
109,10,2
181,178,2
154,161,2
59,189,2
19,116,2
180,70,2
39,94,2
31,90,2
43,64,2
130,69,2
157,86,2
102,150,1
95,111,1
161,56,1
52,149,1
153,52,2
59,45,1
126,98,2
185,4,2
2,148,2
1,103,2
102,6,2
155,18,2
66,169,2
85,182,1
51,189,2
158,23,1
2,184,2
10,8,2
164,66,1
143,43,2
109,167,2
61,90,2
1,188,1
196,135,1
27,97,1
141,119,1
188,51,1
59,166,1
79,144,1
193,129,2
144,124,1
191,56,2
56,11,2
9,165,2
157,63,1
108,58,1
103,92,2
129,1,1
169,37,1
60,130,1
167,113,2
31,103,1
104,173,2
64,100,1
177,157,2
89,44,2
130,82,1
143,164,2
7,11,1
48,12,1
33,149,2
181,47,1
107,98,2
44,158,1
174,8,1
118,107,1
37,119,1
185,17,2
117,148,2
49,93,2
83,6,2
183,93,2
143,20,1
7,96,1
40,44,2
141,96,1
86,160,2
6,51,2
133,92,2
126,196,1
145,66,2
124,43,2
27,110,2
168,49,2
153,186,1
93,55,1
139,22,2
66,38,2
12,67,2
30,115,1
39,84,1
180,60,2
158,121,2
166,125,2
24,41,2
157,76,2
130,59,2
48,169,1
169,50,1
142,33,2
160,81,1
27,195,2
87,97,1
67,39,2
146,183,1
53,104,2
172,55,1
195,188,1
119,49,1
178,135,2
37,96,2
124,164,1
171,96,1
134,65,1
140,108,2
187,40,2
92,68,1
37,132,1
38,97,2
23,197,2
89,142,1
143,33,2
169,171,2
142,154,2
162,132,1
67,160,1
13,189,2
74,19,2
99,192,1
179,72,2
180,37,2
125,101,2
32,22,2
82,139,1
110,121,2
197,89,2
143,118,2
154,164,1
161,23,2
60,120,2
106,87,2
174,142,1
78,25,2
23,89,1
50,192,1
197,125,2
17,15,2
150,50,1
196,17,1
62,166,2
108,133,1
87,110,1
187,197,2
53,117,1
46,78,2
32,143,2
151,94,1
168,183,1
161,144,2
73,31,1
43,188,2
105,20,2
191,23,1
90,120,2
82,116,1
157,30,1
1,191,2
47,158,2
101,129,2
86,6,1
167,80,2
24,31,2
64,67,1
43,44,1
28,1,1
1,47,1
187,174,2
147,101,1
93,130,2
45,90,2
145,177,1
37,86,1
191,144,1
170,121,2
116,150,1
157,151,2
49,60,2
156,186,2
128,124,1
12,178,2
141,63,1
32,156,2
38,87,1
198,39,1
196,187,1
42,57,2
116,6,2
15,103,2
110,75,2
196,115,2
8,64,1
122,49,2
94,67,1
144,133,2
188,31,2
59,146,2
179,62,2
79,124,1
30,82,2
145,69,1
158,88,1
28,158,2
103,72,2
15,188,1
115,126,2
169,17,1
106,77,1
67,6,1
179,147,1
4,66,1
199,125,1
144,189,2
110,196,2
36,18,2
102,192,1
8,185,1
27,198,1
134,32,1
88,65,2
194,46,1
180,148,2
100,39,2
51,146,2
58,42,2
43,142,2
103,193,2
164,23,1
55,116,2
19,50,1
70,132,2
185,82,1
137,42,2
163,180,2
83,71,1
197,56,2
1,181,1
29,100,2
149,16,1
88,186,1
13,12,2
167,70,1
111,169,1
23,56,1
89,1,1
61,168,1
62,133,1
8,162,1
87,77,1
188,129,2
93,120,1
85,116,2
138,128,1
75,188,2
122,183,2
160,146,1
80,37,1
106,175,2
118,149,2
63,70,2
36,116,2
110,65,2
76,152,2
1,158,1
47,125,2
128,199,1
161,147,2
148,177,2
154,108,1
140,173,2
4,20,1
57,175,2
178,56,1
123,120,2
68,184,2
15,178,2
113,192,1
179,137,1
79,199,2
180,102,2
45,57,1
65,35,1
10,99,1
56,66,1
57,31,1
171,53,2
3,60,2
103,147,1
109,78,2
168,127,2
12,145,2
18,39,1
191,147,2
112,3,2
23,154,2
164,13,1
115,8,1
106,188,2
134,107,2
27,44,2
13,146,1
139,185,1
118,162,2
165,94,2
65,156,1
56,187,1
63,83,1
28,125,1
189,42,1
134,143,1
194,157,2
187,118,2
107,9,2
12,37,2
152,160,1
4,33,1
199,92,1
98,189,1
24,11,2
104,120,2
10,76,1
56,43,1
124,98,2
7,187,2
54,119,2
128,68,1
168,104,2
180,115,2
39,139,1
141,7,2
140,42,2
31,135,2
32,100,1
65,48,1
125,179,2
145,157,2
3,73,2
75,178,1
35,105,1
15,47,2
162,66,1
181,79,2
0,4,1
153,97,1
99,126,1
70,99,1
145,13,1
56,164,1
189,199,1
156,22,1
128,189,2
129,154,1
95,12,2
154,98,2
139,198,2
165,107,2
166,72,2
72,28,2
131,114,1
43,1,1
130,6,2
75,70,1
143,88,1
190,20,1
96,13,2
87,44,1
27,142,1
128,45,1
107,22,1
79,189,2
85,83,2
145,134,1
164,147,2
51,90,2
43,86,1
103,137,2
169,82,1
12,135,1
181,56,2
51,126,2
64,145,2
17,70,1
50,18,1
83,15,1
55,96,1
142,101,1
134,97,2
154,75,2
194,111,2
19,30,1
5,95,1
6,60,1
71,77,1
186,27,1
76,155,2
115,83,2
15,145,1
87,21,2
113,159,1
6,96,2
188,73,2
126,12,1
25,46,2
167,50,1
118,8,1
125,133,1
145,111,2
151,185,1
61,148,2
7,177,1
136,62,2
127,93,1
122,127,2
40,174,1
19,151,1
66,83,1
67,48,2
85,96,1
13,77,2
31,125,1
166,170,1
38,21,2
152,6,2
23,121,2
63,194,1
138,108,2
95,146,1
160,126,1
181,69,2
25,167,1
99,116,1
79,58,1
191,199,2
17,83,2
63,50,1
171,141,1
82,63,1
197,13,1
80,102,1
41,31,1
67,169,2
33,27,1
37,177,1
53,5,2
151,162,2
3,184,2
50,116,2
115,96,2
189,45,2
101,161,1
108,57,2
134,195,1
188,86,1
174,151,1
185,160,2
151,18,2
63,171,2
57,11,2
98,12,1
91,153,2
89,43,2
75,145,2
110,166,2
126,110,1
18,19,1
173,42,1
152,19,2
144,15,1
197,170,2
189,166,2
76,109,2
150,95,1
155,30,1
100,94,1
174,43,2
5,85,1
139,165,1
151,139,1
89,164,2
22,174,2
163,150,1
21,66,1
135,51,2
161,189,1
198,107,1
159,36,2
70,187,2
64,27,1
17,181,1
98,169,1
36,194,2
42,125,2
29,155,2
22,30,1
8,132,2
62,103,2
122,117,1
160,80,2
180,95,1
26,0,2
6,171,2
12,102,2
13,67,1
132,18,2
181,23,2
71,8,1
149,107,2
134,64,2
181,59,1
172,90,2
44,170,2
191,189,1
71,44,1
56,144,1
151,116,2
104,41,1
163,127,2
22,151,1
123,54,2
108,191,2
115,50,1
157,196,2
21,43,1
40,56,1
13,188,1
188,40,1
24,197,2
98,146,2
115,86,1
196,160,2
190,0,2
102,116,2
8,109,2
134,185,2
141,196,2
0,105,2
148,3,2
125,136,2
166,137,2
71,165,2
193,154,2
151,8,2
23,88,2
51,70,1
177,146,1
43,66,2
174,196,1
143,153,1
95,113,2
18,9,2
100,48,2
119,61,1
178,147,1
56,121,2
36,63,2
76,99,2
28,59,1
102,8,1
88,110,1
188,197,2
141,85,2
46,113,2
192,167,1
43,187,2
89,154,2
69,96,1
42,79,2
15,125,1
110,97,1
135,41,2
88,195,2
121,143,1
54,53,2
161,179,1
19,95,2
174,118,1
70,177,1
71,142,1
111,178,1
137,87,2
82,151,2
101,164,2
197,101,2
40,154,1
160,70,2
146,172,1
181,13,1
53,93,1
59,24,1
23,101,1
178,124,1
164,189,2
56,98,2
90,11,2
17,27,1
171,85,1
82,7,2
55,53,1
143,166,1
88,87,2
73,187,2
147,136,1
99,96,1
39,194,1
45,125,2
173,45,1
6,17,1
111,70,1
83,8,2
68,108,1
69,73,2
14,137,2
169,160,1
21,33,2
41,11,1
107,185,1
141,98,1
13,178,1
86,162,1
140,133,1
44,16,2
39,50,2
105,32,1
63,115,2
91,97,2
66,40,2
165,162,2
52,105,1
85,53,2
4,65,2
192,36,1
186,105,1
24,43,2
124,130,1
35,52,2
196,6,1
1,59,2
153,44,1
139,109,1
118,86,2
79,15,1
105,153,2
171,98,2
63,7,1
62,191,2
168,172,2
48,27,1
148,114,2
155,10,2
26,88,1
67,126,2
141,75,2
188,7,1
86,139,1
106,197,2
51,181,1
180,183,2
105,9,2
130,182,1
149,195,1
69,86,1
150,160,1
116,18,1
62,47,1
47,147,2
81,60,1
102,83,1
162,134,1
5,150,1
66,17,1
39,63,1
30,94,2
31,59,2
125,103,2
137,77,2
82,141,1
28,170,2
157,55,1
134,188,1
175,189,2
160,60,1
60,122,1
106,89,1
67,18,2
12,82,1
92,191,2
99,50,1
158,136,2
45,79,2
118,63,2
199,137,1
16,52,2
171,75,1
2,117,1
131,2,2
36,30,2
170,110,2
109,100,2
188,164,1
179,195,1
195,23,2
199,173,2
37,111,2
43,154,1
144,57,2
89,121,2
157,176,2
110,64,1
87,197,1
47,124,1
67,139,2
27,66,1
181,124,2
20,27,1
11,58,2
65,178,2
171,196,2
131,123,1
163,192,1
102,96,2
40,121,2
86,8,1
13,24,1
38,197,1
159,78,1
177,126,2
105,107,1
50,171,1
61,180,2
182,61,1
54,141,2
107,67,2
153,34,1
53,96,1
165,8,1
64,105,2
56,101,1
15,69,2
7,65,1
40,13,1
67,116,2
121,87,2
181,101,1
132,96,2
179,28,2
51,171,2
24,154,1
125,57,2
30,48,1
71,86,2
152,74,1
151,109,1
190,186,1
110,77,1
55,141,2
28,124,2
82,95,1
103,38,2
8,66,1
134,142,1
181,137,1
174,98,2
66,7,1
146,116,1
12,36,2
4,32,2
49,183,2
83,96,2
143,110,2
21,121,1
95,70,1
87,66,2
60,112,2
17,7,2
156,165,1
108,125,2
128,103,1
188,154,2
160,135,1
194,48,1
180,150,2
151,86,2
51,148,1
178,189,1
70,98,2
103,195,1
61,49,1
1,147,1
176,36,1
87,187,2
161,136,1
160,171,2
174,75,1
5,117,1
79,103,1
166,71,2
145,48,1
63,95,2
77,142,1
28,137,1
69,138,2
88,188,2
94,82,2
135,83,2
96,12,1
141,163,1
106,56,1
187,130,1
38,187,1
170,77,2
35,32,1
135,119,1
109,67,1
88,44,1
187,166,2
194,25,1
180,127,2
39,151,1
125,191,2
86,83,2
92,14,2
132,50,1
151,63,1
191,136,2
57,56,2
145,169,1
43,121,1
130,126,2
196,71,1
15,59,2
55,95,1
101,62,1
121,77,2
195,26,1
87,164,1
107,142,1
132,86,2
172,122,2
164,38,1
196,107,2
156,34,2
83,50,2
102,63,1
96,169,1
129,166,1
142,136,1
0,52,2
154,110,1
100,139,2
72,40,1
123,122,2
43,13,2
124,87,1
35,9,1
116,83,1
108,79,2
87,56,2
113,194,1
141,176,2
19,150,2
152,185,2
118,43,2
144,181,2
31,124,2
37,55,1
105,110,1
171,55,2
110,188,2
76,46,2
68,42,1
69,7,1
109,80,1
61,3,1
67,83,2
126,132,2
132,63,2
38,56,1
51,138,1
198,8,2
79,57,1
97,105,1
50,30,2
190,153,2
110,44,1
1,137,1
88,142,2
94,36,2
73,13,1
172,135,2
72,197,1
37,176,1
112,90,1
17,118,1
57,154,1
76,167,1
49,150,2
171,176,1
157,12,2
115,95,1
129,179,1
21,88,2
135,73,1
40,101,1
81,102,2
176,111,1
18,162,1
4,35,2
104,122,2
50,151,1
116,96,2
7,189,2
18,198,1
19,163,1
93,112,2
180,117,2
188,121,1
125,181,2
193,199,1
23,133,1
35,107,2
110,21,2
55,85,1
181,136,1
87,154,1
161,103,2
4,156,2
11,15,1
71,66,1
111,102,2
170,188,1
91,44,2
117,182,1
128,191,1
146,96,2
38,154,2
123,112,2
124,77,2
110,142,2
189,57,2
163,5,1
135,86,1
81,115,1
188,98,1
71,187,2
82,196,2
98,24,2
43,88,2
77,1,2
21,186,2
168,119,2
160,115,2
60,177,1
106,144,1
140,57,2
27,0,2
125,14,1
10,176,1
142,103,2
102,30,2
147,181,2
148,146,1
173,90,1
86,171,1
111,115,1
56,179,2
185,64,1
84,18,1
170,21,2
115,85,2
15,147,1
61,114,1
136,28,1
26,156,1
187,110,1
18,152,2
132,174,2
25,48,1
179,106,1
173,175,1
71,164,1
64,39,1
63,160,2
51,69,1
116,86,1
106,121,2
18,8,2
72,128,2
192,81,1
152,8,2
79,24,2
83,174,1
178,146,1
170,142,2
196,51,2
135,184,1
47,71,2
147,158,2
52,186,2
181,71,1
188,196,2
72,164,1
85,183,1
119,96,2
193,45,2
166,28,1
92,79,2
91,34,2
117,172,1
49,117,1
82,65,1
197,15,2
183,117,2
128,181,1
189,11,2
15,124,2
121,142,2
67,171,2
146,86,2
141,120,1
6,75,1
44,38,2
70,176,2
164,103,1
116,63,2
61,127,1
88,1,1
27,134,1
146,171,2
132,7,1
31,104,1
145,126,1
197,136,2
130,83,2
143,165,2
162,35,2
67,63,2
141,12,2
113,30,1
154,31,1
124,188,2
185,18,2
83,7,2
29,36,1
143,21,2
80,81,2
38,121,1
97,170,1
177,50,1
50,95,1
10,22,2
197,28,2
150,182,1
189,24,1
161,191,1
133,129,2
198,109,2
144,138,1
23,77,2
171,12,2
2,54,1
110,145,1
102,141,1
75,124,1
103,106,2
21,153,2
40,166,2
169,51,1
66,75,2
79,14,1
177,171,1
130,96,1
63,6,2
110,1,2
82,19,2
162,48,2
25,159,1
53,141,2
173,57,1
180,182,2
151,118,2
108,193,2
143,34,2
66,196,1
27,88,2
187,77,2
86,174,1
19,84,1
167,19,2
172,177,1
89,179,1
191,47,2
22,9,1
8,111,1
162,169,2
40,143,2
100,194,2
174,143,2
139,36,1
67,17,2
165,174,2
126,66,1
112,168,1
51,72,2
35,64,2
15,6,2
40,179,2
142,47,1
81,180,1
134,43,2
160,95,2
13,82,1
99,85,2
137,197,2
63,19,2
116,174,2
182,119,1
102,10,2
127,183,1
48,39,1
135,7,1
160,180,1
132,118,2
37,146,1
152,96,2
43,189,1
144,92,2
50,85,2
10,12,2
170,1,1
150,172,2
116,30,2
176,81,1
88,197,1
102,95,1
67,174,2
134,164,2
73,68,2
147,17,1
59,170,2
193,133,1
86,7,2
97,16,1
83,118,2
197,103,2
80,192,1
121,1,2
106,101,2
107,66,1
13,59,2
132,10,1
72,108,1
78,39,1
178,126,1
98,17,1
164,191,2
77,43,1
96,93,2
28,38,1
54,176,1
14,103,2
33,153,2
183,61,1
88,89,1
127,160,2
136,129,2
180,172,1
174,12,1
65,105,2
23,188,1
77,79,1
130,171,2
124,11,1
164,47,1
69,75,1
116,7,2
96,178,2
196,116,2
8,65,2
81,49,1
67,151,2
73,45,1
74,10,1
18,109,1
59,147,1
195,71,1
11,70,1
125,92,2
152,109,2
